cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,cd_agencia,vl_renda_mensal,fl_ativo,dt_cadastro,cd_gestor_relacionamento
EE142379-B1C,59437621080,Dr. Davi Lucas Rocha,1999-06-08,PJ_MEDIO,3387,26675.83,False,2019-07-26,6099D60C
3AA15523-A7E,06172493850,Igor Brito,1965-08-10,PJ_MEDIO,7582,30710.63,False,2023-08-09,4704A604
A0C82E54-B74,78453619255,Vicente Fonseca,1976-03-27,PRIME,9102,54543.29,False,2019-01-15,
078E27EE-34F,20861453905,Camila Marques,1988-09-24,VAREJO,5148,70954.63,False,2019-01-09,D2914D13
2BD381DA-572,01754936261,Sophia Cavalcanti,1991-11-10,PJ_PEQUENO,9834,69151.3,True,2015-06-25,E2323F75
672E57C7-328,96378245029,Augusto Cassiano,1980-10-24,PJ_MEDIO,3376,48505.22,True,2023-12-16,157ED402
0C7C3C64-67D,40129853615,Letícia Souza,1962-07-08,PRIME,7493,,False,2016-04-03,
35A02896-7AE,76391452873,Sra. Mariana Fonseca,1994-12-25,PJ_MEDIO,1687,,True,2017-11-09,8FA4E339
A8CB6193-D49,51630928470,Sra. Ágatha Montenegro,1999-05-21,PRIME,4715,55194.84,False,2020-06-26,
74A565D8-F98,75163924052,Anthony Gabriel Barbosa,1960-06-28,PRIVATE,7116,44553.38,False,2020-11-12,
4224C023-956,40569831784,Ísis Santos,1985-03-29,PRIME,6752,60361.37,True,2017-07-13,
EF45BFF5-C97,45380127690,Sra. Alice Nunes,1990-09-13,PRIME,4085,57721.85,True,2020-07-21,901C9347
1F1694DA-CD4,35796142070,Benjamin Macedo,1962-12-14,VAREJO,6022,20483.92,False,2018-05-25,7C355E30
172E61BF-CA0,76859431075,Ana Luiza Costela,1968-10-09,PJ_MEDIO,2582,76196.72,True,2015-04-07,8360E94C
A0EEC42E-845,87695024392,João Lucas Cirino,1951-06-16,VAREJO,5846,11004.43,True,2024-04-13,
D0B7F9ED-5DD,05482763153,Maria Vitória Souza,1956-05-26,VAREJO,5152,37029.05,True,2019-09-25,910C23A6
2B35A339-697,87095246149,Maria Alice Moura,1982-01-28,PJ_PEQUENO,1173,56278.75,False,2018-11-06,7D9EA6A7
4A0B647D-626,15294803704,Ana Clara Cavalcante,1984-10-14,PRIVATE,4415,25347.25,False,2022-02-14,
C740ABC6-A5F,51836904215,Sra. Isabel Casa Grande,1953-10-04,PJ_PEQUENO,1516,,False,2015-05-08,
E3CED293-917,70398162530,João Lucas Alves,1972-12-12,PJ_PEQUENO,7287,60604.06,True,2019-09-28,
25C25327-DFE,36724901804,Maria Vitória Campos,1981-06-30,PJ_PEQUENO,1447,31327.43,False,2023-07-07,
7816D6AD-A99,60857924338,Dr. Bruno Cavalcante,1957-10-16,PJ_PEQUENO,AGENC-???,44183.19,True,2017-10-02,
A7DDF143-31A,97015382695,Cecília Melo,1958-06-08,PJ_PEQUENO,7223,,True,2021-10-08,43D95417
45D09B3E-2D2,23569187446,Mathias Pinto,1992-02-07,VAREJO,6289,25820.37,False,2017-06-06,
77C6E5EF-897,10753294850,Maria da Cruz,1986-11-02,VAREJO,1168,55180.17,True,2020-09-04,D5B3ED10
B19C3294-817,59486271011,Lorena Vasconcelos,1989-11-15,VAREJO,9225,15726.81,False,2022-10-26,
058B0BD6-B39,19307852405,Anna Liz Lopes,2000-09-10,PJ_PEQUENO,9776,,True,2017-11-03,
05E91CA8-798,03951472804,Léo Fernandes,1960-07-22,PJ_MEDIO,9046,,False,2018-04-16,
F123A68A-3E7,68172450362,Vinícius Cassiano,1964-08-07,VAREJO,5756,48687.95,False,2016-03-25,20E5AFD0
94090016-306,65127394855,Vitória Aparecida,1963-11-21,VAREJO,4262,39348.48,True,2015-01-24,
EDFB0E19-3E7,79108256330,João Lucas Pacheco,1984-09-30,PRIME,7172,4944.16,True,2017-07-04,
7084F376-2CA,26105479867,Heloísa da Conceição,1980-07-05,PJ_MEDIO,9083,19455.5,False,2024-01-25,
F648E8E0-85F,02175639886,Clarice Machado,1960-06-01,VAREJO,3694,12427.62,True,2019-11-30,
CC36533E-CCF,56741389237,Sr. Thiago Vargas,1994-07-06,PRIVATE,8044,3112.2,False,2022-02-13,
74B02BC8-DCD,53476201880,Antonella Mendonça,1998-10-04,VAREJO,7858,38682.15,False,2019-11-23,
4E084081-B87,25849731032,Vitória Rocha,1999-12-31,PJ_PEQUENO,AGENC-???,6616.26,False,2022-06-15,
1AF91BF9-7FB,79304185610,Dra. Maria Luiza Costa,1982-02-01,PJ_PEQUENO,7575,,True,2016-07-17,2F073B99
73BF65C6-E44,50314897666,Alícia das Neves,1960-11-09,VAREJO,3654,8280.64,True,2022-06-15,
81EDE082-098,85019724602,Sr. Ravi Lucca Garcia,1967-08-19,PJ_PEQUENO,9944,30805.37,False,2020-05-11,132B8C5F
2052B6DC-955,45129863089,Jade Guerra,1955-12-30,PRIME,7770,10594.21,True,2017-08-09,
A8518252-638,61428709576,Guilherme da Mota,1968-02-29,PRIME,5920,11957.36,False,2015-02-15,
04219A17-343,81254396098,Maria Laura Almeida,1983-05-13,VAREJO,9359,63364.84,True,2020-11-18,F7A95547
CD3EF84C-5A0,67034195234,João Felipe Cirino,1973-11-08,PJ_MEDIO,9692,2195.31,True,2018-08-01,
327F6DB6-ACE,93428750683,Anthony Gabriel das Neves,1971-11-11,PJ_PEQUENO,4498,16310.36,False,2020-05-13,CD82EA41
E5193D6C-56B,18346270526,Fernando da Costa,1992-12-13,PRIME,2622,15034.81,True,2016-08-21,5656D20D
C8E186EC-DBD,38946125098,Davi Lucca Almeida,1961-05-23,PJ_MEDIO,3382,69103.06,True,2020-05-10,1898E6A2
ABD174D3-4B9,05387946157,Dr. Anthony Caldeira,1996-01-22,VAREJO,3698,20894.82,False,2024-06-01,
B7E52FE0-AA0,09635781466,Breno Melo,1982-06-14,PRIME,5300,33401.73,False,2015-06-25,
B106F35D-97A,65981743255,Bella da Rocha,1978-10-02,PJ_PEQUENO,1453,16619.55,False,2019-05-20,C22D91E7
AFBC2AF8-504,29346085142,Dra. Antonella Rodrigues,1990-05-10,PJ_MEDIO,4681,60265.77,True,2020-05-17,
150B1177-D90,53406298133,Sra. Catarina da Rocha,1995-09-18,PJ_PEQUENO,3576,,False,2020-07-29,
039CE822-578,75846032117,Sara Silveira,1956-09-25,PJ_PEQUENO,1506,34259.34,True,2022-11-25,
21DA41D2-2B6,27063584162,Dra. Eloá da Costa,1963-01-22,VAREJO,7054,23275.07,False,2020-03-17,
947420C4-5BC,86045793200,Heloisa Mendes,1980-08-20,PRIVATE,9770,49015.73,False,2020-04-08,
2A6F0B6C-122,56427813080,Maria Helena Machado,1995-11-19,PJ_PEQUENO,7325,60957.29,True,2020-04-06,
92A4D4BC-26C,43190867593,Lunna Ramos,1980-03-29,VAREJO,9022,78055.29,True,2017-10-27,1CCEBE94
38F3F705-976,50697284310,Maria Eduarda Peixoto,1974-01-23,PRIVATE,5734,48163.05,True,2018-07-06,
BD4C8EFB-123,38257690465,Luiz Miguel Marques,1979-01-31,PRIME,4133,28858.29,False,2017-02-24,30E456FE
C993848E-3C0,02478165902,Maysa Dias,1980-01-21,PJ_MEDIO,7742,23363.99,False,2022-07-06,FA1A6750
35C82E95-FE0,61948203570,Thiago Câmara,1966-11-24,PJ_MEDIO,3281,64476.19,False,2017-02-17,
1ADD9D42-346,36941087501,Gustavo Pacheco,1982-06-07,PJ_MEDIO,6261,,False,2021-07-10,CCE3B469
EB92AE65-7C0,15306729452,Sr. Rael Nogueira,1996-08-30,PRIME,2920,,False,2022-02-28,
40BB945A-235,92654078329,Diego da Cunha,1972-02-29,PRIME,6527,15871.61,False,2019-03-16,AC11F971
1784ECFC-349,10479356270,Srta. Isabel da Costa,1972-01-14,PJ_PEQUENO,AGENC-???,57787.75,False,2021-01-10,
1A30D958-94C,41398072613,Manuela Brito,1980-08-17,PRIME,5173,49069.72,False,2016-05-24,809629FF
9160A6A3-483,23547018617,Luiz Gustavo Vasconcelos,1983-10-14,PJ_MEDIO,7440,,True,2024-02-08,
458338E8-6D1,24061793543,Zoe Siqueira,1972-11-10,PJ_PEQUENO,8450,74877.95,False,2020-09-24,E6DF01C8
4440E697-750,60345278135,Sr. João Gabriel Porto,2000-11-28,PJ_PEQUENO,4263,22357.54,False,2022-01-16,
16400795-2FA,27390186496,Luiz Henrique Porto,1993-12-02,PJ_MEDIO,2770,38894.9,False,2018-07-06,
689DD5BE-828,86759421094,Alícia Silveira,1960-09-18,PRIME,3967,11148.95,True,2015-06-18,
C9880E55-A88,40685973247,Luana Carvalho,1956-04-21,PRIVATE,2760,,False,2016-06-05,7A475FCE
D57B2C8B-EED,39451672800,Calebe Novaes,1958-08-09,PJ_PEQUENO,4356,4635.08,True,2015-02-10,
66CA4289-8FC,61397048557,Valentina Machado,1959-12-31,PRIVATE,5541,23808.77,True,2017-08-02,F9AED7F2
5E78FBCD-353,95032184624,Diego Pimenta,1969-10-11,PJ_MEDIO,5370,74336.35,False,2017-08-26,6711B95A
F36572E4-336,45932618728,Ana Clara Costa,1963-08-12,VAREJO,6189,61344.57,True,2024-01-14,
9F74F1FC-7A4,84203576180,Dra. Manuela Pereira,1984-05-21,PRIME,9875,49879.29,True,2016-01-09,
046E835E-7AD,50174932634,Laís da Cruz,1974-03-14,PJ_PEQUENO,3040,9011.17,False,2017-06-24,
413F0122-F95,92605438198,Yan Vieira,1971-09-18,PJ_PEQUENO,3713,71512.99,True,2018-02-18,E1A5BB3A
F794734A-1B6,13476290506,Giovanna Araújo,1959-08-20,VAREJO,4912,54186.19,False,2021-07-02,
228E3569-252,35841907620,Bryan Ribeiro,1984-09-10,PJ_PEQUENO,4496,19726.19,True,2019-08-01,76A52942
B2EFF35A-14A,94705381610,Miguel Fernandes,1989-11-05,PJ_PEQUENO,3463,59524.4,False,2021-11-24,36F8252C
FF349B78-3CC,26510743906,Sra. Beatriz Moura,1984-02-09,VAREJO,9868,61556.88,True,2022-07-20,9470BE0D
CB6D3B29-9B2,98342561089,Nina Cavalcanti,1994-02-05,PJ_PEQUENO,9584,28369.67,True,2020-08-06,
2EDCB255-931,79026583400,Srta. Ana Guerra,1995-07-15,PJ_MEDIO,7355,67300.19,True,2019-03-08,
3F3B3967-4E7,93567280112,Sr. Thomas da Conceição,1962-12-19,VAREJO,7187,14717.96,False,2017-04-28,0ED2F3AD
D24A4FC9-DA1,13905742888,André Alves,1969-07-21,PRIVATE,6787,33300.53,True,2023-01-07,
E31DFBA2-920,10423576925,Dra. Maria Vitória Ribeiro,1976-01-29,PRIME,7216,48634.2,False,2015-04-10,BE4EEC04
CC25CA3A-BD5,78014563948,Melissa Sales,2000-07-15,PRIME,2059,,True,2019-05-12,
64EDC8FD-525,32746815044,Lunna Ferreira,1980-12-19,PRIVATE,7241,3108.79,False,2023-02-14,
144B0E2F-BCE,41790358205,Dr. João Gabriel Macedo,1989-12-14,PJ_PEQUENO,2465,,False,2017-07-25,
4E66CE6C-035,08349271523,Miguel Lima,1974-02-22,PRIVATE,5257,,True,2017-06-16,AA2F54CF
81336B22-F77,13765240826,Davi Lucas Souza,1996-05-25,PJ_MEDIO,9698,,True,2019-04-12,
73942EFD-05F,53208419651,Nicole Costa,1982-09-16,VAREJO,4745,8562.84,True,2016-01-14,9F882D15
50046259-F79,47628035965,Maria Liz Pacheco,1999-08-06,VAREJO,5102,7721.55,False,2020-01-30,
654D0B25-1AD,73682150471,Gabriela Araújo,1963-05-16,PRIVATE,3320,68892.27,False,2017-01-31,
91EA60A3-3ED,40783251653,Esther Moraes,1970-07-21,PJ_PEQUENO,6105,14580.36,True,2017-08-07,
5CC73E0E-E35,01847523960,Sr. Henry Costela,1958-04-12,PJ_MEDIO,1854,46449.81,True,2018-03-26,33220452
0CA2B7A0-FC9,15903472850,Dr. Noah Barbosa,1999-02-27,PJ_PEQUENO,7934,71751.38,True,2015-03-12,C58558A8
A5175A7C-D41,48301926589,Dr. Ravi Lucca Melo,1967-07-13,PJ_MEDIO,2262,,True,2018-01-07,
1A43BEF3-AE4,21458069389,Ravy Lopes,1966-01-13,PJ_MEDIO,3033,62656.16,False,2023-02-10,
5AB197C6-ED2,94580163206,Sra. Lorena Lima,1966-01-19,PRIME,9743,74673.78,True,2023-10-29,
7DBFC6AA-4C2,10572849397,André Vieira,1950-10-14,PRIVATE,3814,61658.45,True,2020-08-13,053C9AB4
A5A763A3-388,70952346800,Ester Andrade,1995-04-06,VAREJO,7452,,True,2020-04-05,4C341AFE
7E7EA367-117,28195074332,Dom Sousa,1963-12-27,PRIME,4963,69142.53,False,2021-06-08,A0D41ED0
0A671FF0-F9D,25074186994,Mateus Pereira,1975-01-21,PJ_PEQUENO,5027,37213.12,True,2023-01-01,
109A4E7A-4FD,98104263560,Maria Fernanda Nunes,1972-04-08,PRIME,1692,6765.31,False,2016-07-10,
F3977E14-8D8,37145962837,Mirella Cavalcanti,1950-01-19,PRIVATE,8549,43018.1,False,2022-08-07,4A3DE5D4
443F79A6-95D,67528149373,João Lucas Casa Grande,1985-06-09,PJ_MEDIO,9871,58509.44,False,2022-04-05,3560B3ED
589CC97B-0AC,38471509288,Dr. Theodoro Fogaça,1996-08-15,PRIVATE,7638,60503.05,False,2016-11-14,DF29AA14
0416F750-CE5,56278304929,Gabriela da Mota,1995-02-21,PJ_PEQUENO,3068,64679.84,True,2015-10-28,
91C1AA68-24B,57481390223,Mateus Cavalcante,1982-12-21,PRIVATE,2892,48945.07,False,2019-04-17,
77AC2E40-FE1,83605479120,Luigi Macedo,1983-09-23,PRIVATE,7121,3374.25,False,2017-03-24,
DD97DE70-32A,54187296085,Maria Sophia Nogueira,1951-06-10,PRIME,8135,,True,2020-01-17,C20AC6CA
77C98292-F52,71359026886,Brayan Gomes,1962-07-19,PRIVATE,7493,20692.6,True,2017-07-19,6BA857DB
2B60D4B9-26E,03784612903,Cauã Leão,1989-05-22,PRIVATE,8975,32840.28,False,2019-03-02,18735B06
7580BFE4-443,64820135970,Camila Costa,1968-05-13,PJ_PEQUENO,3136,34140.3,True,2017-10-02,9E5F2076
BEAA4765-A3A,91845270304,Bento Silveira,1963-01-21,VAREJO,5840,30861.8,False,2020-03-20,9BDA2EBD
08A4AF0E-B9C,90268145776,Paulo Siqueira,1984-09-05,PJ_PEQUENO,2279,48461.56,False,2024-03-17,
9E4A20BE-4D0,70829456392,Luiza Ferreira,1995-12-26,PJ_MEDIO,8816,,False,2015-10-05,B6025313
D150228C-8D2,29640817350,Emanuelly Pires,1981-08-16,PRIVATE,4169,25861.83,True,2015-02-15,
EE4A48BE-E10,34901857223,Dr. Isaque Macedo,1959-02-02,PRIME,5417,6201.13,True,2022-01-27,
721C6DFC-E9A,74098261340,Sarah Araújo,1996-10-01,PRIVATE,1395,36696.15,False,2023-12-15,81BE9C35
BC36250C-B97,75643102862,Gabriela Ribeiro,1991-04-18,PRIVATE,6350,23866.78,True,2023-12-26,
6EC3D8F5-C18,05612978430,Sr. Calebe Jesus,1996-05-19,PJ_MEDIO,3020,70857.34,False,2019-11-11,
F4A0F967-432,52063914842,Luiz Miguel Montenegro,1996-02-10,VAREJO,AGENC-???,58700.16,True,2016-09-20,2B7D8C66
FFF6364E-7EC,97041653234,Ravi Lucca Vieira,1983-11-27,PRIVATE,8206,58918.81,False,2016-08-12,B1FD9FEF
F30843E4-10D,45673108966,Antônio Teixeira,1962-10-04,PRIME,2526,49924.64,False,2019-06-04,159110E8
D227E376-216,67851320453,Bryan Araújo,1969-10-04,VAREJO,1721,25278.46,True,2017-03-07,
09BB85B7-1ED,45270391643,Rebeca Pereira,1987-07-15,PJ_MEDIO,4172,,True,2019-10-15,027D1A94
B6336EE8-4B5,45072689310,Sr. Vinicius da Mata,1999-01-29,PJ_MEDIO,5180,,True,2015-01-03,7856C540
55A09D16-E34,75432901625,Sr. Isaac Garcia,1955-12-11,PRIME,1613,22342.35,False,2023-10-29,249CE6FF
10A4E341-32F,86517430253,Kaique Caldeira,1955-12-06,PRIME,8672,73338.02,True,2022-07-18,
6C29A863-E32,18569072368,Heloisa Duarte,1994-04-10,VAREJO,2310,54049.25,False,2021-12-01,
2C0F4FF3-E1B,96408175201,Pedro Miguel da Mota,1983-05-21,PJ_PEQUENO,5228,46797.91,False,2022-01-30,
49B1AE30-1A6,72698043113,Dr. Gael Rios,1979-04-18,PJ_MEDIO,3549,,False,2024-01-16,
0645D146-3D2,69017523859,Srta. Yasmin Dias,1972-01-03,PRIME,1364,35559.06,False,2018-09-06,
C5BD6B07-89E,82413765964,Dr. Luiz Henrique Moraes,1995-08-26,PRIVATE,9173,77861.75,False,2015-07-30,B947313E
5155FC3C-DEB,67891034222,Ana Julia Marques,1976-12-11,PRIVATE,AGENC-???,66189.42,True,2023-10-15,
B94DEC6D-844,90381476278,Luísa Cirino,1969-08-23,PRIME,8607,72556.21,True,2022-10-27,
45402DF0-9E0,36078421913,Eloah Nogueira,1998-08-24,PJ_MEDIO,6947,33892.63,False,2019-09-14,
E259B9A7-52D,70815694202,Lucca Pastor,2000-10-30,PRIVATE,5900,7868.64,True,2021-12-27,
5760769F-E71,69280754149,Yasmin Martins,1993-03-03,VAREJO,6143,74200.77,True,2019-11-20,B896695C
763834C8-DE3,60387924574,Dr. João Vitor Ribeiro,1986-06-02,PJ_PEQUENO,3523,34016.5,True,2018-09-29,B4B46BCE
6DB4C648-BEB,59342861709,Srta. Maria Julia Ribeiro,1983-03-25,VAREJO,6046,20001.06,False,2019-06-12,48A5C091
D518A999-188,70693128577,Ana Sophia Barros,1969-03-15,PJ_PEQUENO,8046,68181.83,False,2017-09-23,
18751B58-061,86013749566,Theo Barros,1964-10-17,PRIVATE,3608,,False,2015-12-06,
14E1B123-5B6,90183752686,Dra. Rafaela Aragão,1959-01-12,VAREJO,2348,64001.25,True,2016-09-06,3400DB73
5C54E11A-357,56978241067,Aylla Leão,1998-06-24,PJ_PEQUENO,9071,,True,2015-07-30,
3C02566C-101,89536710277,Ana Liz Camargo,1950-03-10,PJ_PEQUENO,3909,,False,2019-02-11,33B23DD0
408363F5-E94,75302169452,Dr. Benício Leão,1982-01-19,PJ_MEDIO,2433,,False,2018-09-14,
F327EAAE-516,91238645755,Cecilia Campos,1958-12-20,VAREJO,2349,79072.5,True,2024-03-18,
8C79BCD7-7EF,70931625840,Dante Nogueira,1967-04-01,PRIME,7403,66198.99,False,2016-03-16,30E73B97
A3BAC5EF-01B,92534160761,Davi Miguel Montenegro,1973-12-25,PJ_MEDIO,5774,,True,2024-04-30,
115FB762-6F5,16375840910,Isadora Montenegro,1975-07-09,PRIME,AGENC-???,37793.42,False,2016-10-06,0111E602
D5C2BE1B-FCB,57249183079,Aylla Sousa,1996-03-11,VAREJO,9133,49108.96,False,2015-05-12,F373E6B6
F91ABBD1-703,48052396700,Esther Cavalcante,1985-04-17,PRIVATE,3667,56050.34,False,2019-01-09,4A5D66C3
353AF3D9-DF8,07429631525,Sra. Gabrielly da Luz,1995-08-27,PRIVATE,5811,,False,2019-09-09,
9851E641-9B9,76058491258,Gabriela da Paz,1971-02-04,PRIVATE,6351,18027.96,False,2016-09-01,
2C169E65-15D,46879035175,Larissa Rocha,1963-12-05,VAREJO,2301,6111.72,True,2016-08-27,97EA6F77
2DB54680-1DA,82593106786,Marcos Vinicius Farias,1959-08-30,PJ_PEQUENO,3066,13222.16,True,2018-03-03,
8B64957B-8E8,59381047260,Laura Andrade,1979-11-07,PRIVATE,4919,57913.28,False,2019-08-06,
7EAA65AF-AB1,19760582368,Dr. José Alves,1960-12-31,PJ_MEDIO,5956,,True,2020-04-22,
ADC4DA55-D38,93216874087,Sr. Calebe Nogueira,1953-01-13,PRIVATE,3564,,False,2015-09-28,
0614C514-D4D,30895742683,Guilherme Fernandes,1954-05-22,VAREJO,5131,32080.39,False,2020-03-13,
86B0D8B7-B87,58479023104,Ayla Barros,1985-08-29,PRIVATE,8366,11932.91,False,2023-05-11,
BA444AB4-CA4,40697815366,Sra. Gabrielly Viana,1987-11-22,PRIVATE,4014,2083.94,True,2017-10-23,
2080AE94-157,08731945600,Dr. Gustavo Nogueira,1987-04-21,VAREJO,8977,70228.4,False,2016-08-29,50FC6763
86F5C4E8-CF7,12089345624,Lavínia Martins,1953-10-09,PRIME,4932,41753.58,False,2018-02-12,
10A1A630-BD3,50932614833,Sr. Léo Brito,1968-02-23,PRIME,7846,4518.25,True,2022-01-30,6297B2FA
49B5579D-DD1,39607845110,Ayla Abreu,1982-05-13,PRIVATE,7111,,True,2020-05-31,50E1952C
C5706DAE-322,79358064110,Sr. Ryan Oliveira,1994-12-15,PRIME,4458,13102.76,False,2020-12-14,9EC14A6C
8EBE0AB7-888,25809136702,Marcos Vinicius Casa Grande,1985-01-19,PJ_MEDIO,4222,35642.61,True,2020-02-07,
EBF50D9D-B5B,45793820132,Maria Cecília Rodrigues,1999-02-01,PRIVATE,9827,79748.02,False,2015-07-02,
4D1BC5D0-B49,45612387008,Nicole Moura,1975-07-11,PRIVATE,1293,33475.9,True,2020-04-27,
C44D682D-F16,97403685148,Oliver Barros,1987-06-08,PJ_PEQUENO,4783,73962.53,True,2020-01-15,4C165CCB
EDBD6C29-E45,78051962303,João Guilherme Cavalcante,1973-09-30,PRIVATE,1634,65613.8,False,2019-06-06,9D65624E
F3B3F1B7-94D,02564913725,André Pimenta,1973-10-22,VAREJO,9695,19493.84,True,2024-03-18,
6B0A1315-B58,80716935295,Cecília Aparecida,1990-04-22,PRIME,AGENC-???,1676.66,True,2015-11-08,D35CA82C
636B4BA8-11C,07162935877,Pedro Miguel Pastor,1974-07-20,PJ_MEDIO,9954,75283.48,True,2020-08-17,B9C14144
7FAF7E9F-C9A,57283649182,Lucas da Costa,1977-06-21,PJ_MEDIO,1838,40485.89,True,2020-12-27,
54C82DFE-42C,92745631080,Alexandre Guerra,1999-07-22,PRIVATE,2898,68635.86,False,2021-04-15,
BC2C7433-3A8,73096185484,Ravi Fonseca,1979-06-25,PRIME,9930,53004.05,True,2022-09-07,7EE60935
453757ED-AAD,21459603761,Kaique Cavalcanti,1988-07-13,VAREJO,6386,52277.17,False,2015-03-26,0442930B
09799B2B-9A9,58069241730,Mariah Duarte,1958-12-04,PRIME,5230,14768.28,False,2022-07-14,822AA8CD
75AC01D9-491,78954021379,Dr. João Gabriel Castro,1973-01-24,PJ_PEQUENO,3651,72617.43,True,2023-03-06,20EA78D3
15AEB4CA-0D4,43068719593,Cecília das Neves,1964-09-14,PRIVATE,2599,61559.78,False,2018-06-21,C99A3DF0
AD25157E-E88,08457269194,Vinícius Gonçalves,1998-08-27,PJ_MEDIO,2123,7483.72,True,2016-05-12,3ED238DC
7B708B0E-B2E,32987461500,Dr. João Guilherme Moraes,1950-04-20,PRIME,2081,62625.19,False,2017-01-03,
AC067E59-F7A,74358691200,Ravy Cavalcanti,1960-03-03,PJ_PEQUENO,6530,11032.96,False,2020-09-23,
4C1F7B4A-B5B,70435968157,Sofia Camargo,1960-12-14,PJ_PEQUENO,5559,63161.51,False,2023-11-06,A52FDF7F
5240756B-441,04192856360,Dom Moura,1958-04-04,PRIVATE,3890,31948.63,True,2021-02-11,
4B76322B-DD8,21687394040,Lavínia das Neves,1972-06-15,VAREJO,2415,,True,2016-08-20,
8D6EC28D-FB0,14890726322,Enzo Câmara,1980-09-09,PRIME,9553,,True,2020-05-14,2FDB9E3F
BED680F9-6E9,48502673190,Gabriela Castro,1981-07-11,VAREJO,6573,68500.24,False,2016-02-29,7AF29DEE
7339923F-AE6,59816740249,Olivia Mendonça,1995-12-21,PJ_PEQUENO,4479,14650.56,False,2023-09-04,
FC6A6BD1-6AD,18296503433,Vitor Guerra,1956-01-02,PRIME,9099,45260.43,False,2019-05-06,F6D27EBD
6B6AB06B-D71,87215349004,Levi Camargo,1978-11-28,PRIVATE,4262,72147.69,True,2020-01-30,4A9D44E7
45C963C9-F3C,29048361796,Ana Cardoso,1966-11-16,VAREJO,6823,2844.02,False,2022-04-11,
A1053DCC-581,53087946265,Hadassa Ramos,1980-05-22,PJ_PEQUENO,1121,77612.32,False,2015-12-16,F0BA37AD
8B15D57B-CD0,06429531805,Henry Gabriel da Cunha,1962-01-11,VAREJO,9528,45570.86,True,2021-08-25,C74CAED0
2729B304-B17,97028634574,Luan Casa Grande,1962-03-07,PJ_PEQUENO,9099,,False,2016-05-05,45D007D3
1054E4E2-B1A,61034278517,Marcelo Vieira,1952-11-30,PRIVATE,5031,25996.57,False,2018-04-16,
