cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,cd_agencia,vl_renda_mensal,fl_ativo,dt_cadastro
21345823-A7D,80251694720,Thiago Azevedo,1955-03-14,PRIME,2290,8223.8,False,2024-02-25
96550109-571,12458036970,Otávio Silva,1956-03-17,PJ_MEDIO,3060,11578.73,False,2021-03-01
C6EEF11E-498,20814967558,Isabelly Vargas,1964-10-24,PRIVATE,9645,69985.99,False,2017-05-17
67B1F460-75B,56784102967,Erick Macedo,1998-05-20,PRIME,6107,32820.9,False,2019-11-30
2EA4FFD2-8AF,65048792300,Gabrielly Sá,1996-06-07,PJ_PEQUENO,2982,,True,2018-10-16
ECC36353-BF1,42853069729,Gael Henrique Guerra,1951-11-21,PJ_MEDIO,4770,47692.55,True,2015-10-18
693BC347-12A,52186493098,Joana Novais,1955-04-14,PRIME,2104,,False,2015-10-18
7409C8EE-7B7,40713285923,Isabel Pacheco,1996-02-16,PRIME,5562,,True,2021-01-17
FA6FDF91-CC6,31465890793,Francisco das Neves,1961-11-14,PJ_MEDIO,8744,20575.28,False,2024-01-21
1324A3C8-2C1,25130976886,Sr. Joaquim Monteiro,1986-07-09,PRIME,2545,9109.07,False,2018-12-22
DE0A4571-1A5,52137694034,Vitória Moraes,1988-01-01,PJ_PEQUENO,8651,69311.18,True,2022-07-21
0A587D0F-B97,70516928449,Ana Beatriz Gonçalves,1958-10-30,VAREJO,7596,58664.77,True,2017-10-15
F90AC504-DBC,68179523446,Benício da Mata,1967-03-11,PRIME,9786,,False,2017-01-21
89AEBE2B-B1D,16854907357,Henrique Montenegro,1974-12-28,PJ_PEQUENO,5092,70147.15,True,2019-12-21
77929F70-AD3,34856127900,Sr. Mateus Peixoto,1999-05-17,VAREJO,1828,52693.37,True,2016-01-18
496DFBD3-E1C,20489756310,Samuel Cavalcanti,1971-03-17,PRIME,AGENC-???,,True,2019-07-01
E2BD134F-4A5,32861054735,Ana Liz da Rocha,1955-04-06,PRIME,7209,1669.2,False,2017-12-22
86C8F79D-988,04571632916,Dr. Murilo Vieira,1990-10-27,PRIVATE,7930,,False,2016-09-26
AC1DBDF1-906,78416529094,Ana Cecília Martins,1967-01-14,PRIVATE,4566,77543.69,True,2023-05-22
3B27E660-D19,89607345274,Antônio Sales,1978-02-19,VAREJO,1821,47357.94,True,2015-08-21
B5C80D73-A66,92068134713,Srta. Sophia da Rosa,1995-07-24,VAREJO,4044,6878.92,True,2022-07-28
E665F52C-E76,04981267576,Maria Luiza Cardoso,1971-02-07,PJ_PEQUENO,2964,75415.3,True,2021-06-29
91C873BC-872,91370482604,Asafe Melo,1953-07-26,PJ_MEDIO,2343,34409.16,False,2017-12-04
06748A4B-25B,30624587126,Levi Cirino,1968-04-29,PRIVATE,4910,22350.74,True,2022-07-14
E6D8A747-37A,84651372937,Sr. Bento Pimenta,1976-11-30,PJ_PEQUENO,AGENC-???,74427.94,True,2015-02-08
2877EBD0-3EA,15063847226,José Pedro Rios,1991-02-12,PJ_MEDIO,2638,7250.97,True,2020-09-03
8E50CF22-BD5,51426907370,Maria Sophia Melo,1973-10-17,PRIME,6718,70647.84,True,2019-02-22
10D8BDA2-0C0,82305469160,Isabel da Cunha,1975-07-27,PRIME,8179,66948.98,False,2021-11-10
1E351537-A62,94306281787,Matteo Moraes,1997-06-15,VAREJO,5905,74642.85,True,2016-07-04
A85689EB-DF2,58412736982,Yasmin Garcia,1973-09-23,VAREJO,2753,59779.71,True,2018-01-20
391AAFFF-DA5,91630475866,Gael Henrique da Cruz,1975-04-12,PJ_MEDIO,4450,57832.56,True,2022-09-16
301BD28B-FF8,13052749897,Rafaela Leão,1973-09-07,PJ_MEDIO,9004,,True,2016-01-14
14A75666-668,14952803732,Oliver Vasconcelos,1988-01-01,PRIVATE,1722,1778.34,True,2022-02-22
B6F0A21D-2F2,87509341205,Nicole Montenegro,1973-07-02,PRIME,8239,,False,2021-04-16
13E2F79C-C72,17965420830,Enzo Gabriel Cassiano,1950-11-13,VAREJO,2232,75686.5,True,2021-02-12
DE88779D-DBC,84179265346,Benjamin Ramos,1953-03-26,PRIVATE,3426,35238.26,True,2018-06-16
FEF8D7A6-1C9,50217483607,Dra. Ayla Sá,1982-09-18,VAREJO,6862,17991.01,True,2022-06-24
EA0A99FF-7E4,48261709558,Sophia da Mota,1959-03-23,PRIVATE,7658,77946.21,True,2017-08-27
D0DDF861-C92,42136507826,Dra. Bárbara Melo,1964-07-30,PRIME,7755,3445.73,False,2023-10-10
D24F5D79-292,79354201652,Kamilly Silveira,1986-12-09,PRIME,5371,13997.03,True,2019-04-16
19049740-8BE,86457039200,Lucca da Costa,1953-06-22,PJ_PEQUENO,4644,17166.47,False,2018-12-03
DCC6F239-586,86137059448,Theo Nascimento,1977-05-19,PRIME,4652,,True,2019-06-21
CFF65016-8B7,31765249007,Alana Teixeira,1979-06-14,PRIVATE,2137,77400.79,False,2018-12-09
AC81FB33-8EA,78540261308,Agatha Pereira,1995-09-14,PJ_PEQUENO,9785,,True,2016-04-17
1635C808-FD5,60582791359,Valentim Caldeira,1973-06-08,PRIME,5349,4503.19,False,2018-11-16
646E65C4-EEE,49835062170,Sra. Hellena Vargas,1978-02-21,PJ_PEQUENO,9379,10578.19,True,2017-11-09
BB8ADF43-ACA,50923148779,Gael Porto,1953-12-25,PJ_PEQUENO,1027,42313.75,True,2019-01-31
333081C8-A89,47192850667,Luiz Otávio Souza,1988-09-10,VAREJO,6409,,True,2023-01-27
0D22F045-FB9,76984102502,Alana Pinto,1976-12-10,PJ_MEDIO,6067,53851.09,False,2019-07-07
1000C16B-53B,34796108203,Ana Clara Cassiano,1976-07-11,PJ_MEDIO,3085,16559.45,False,2022-08-06
1B92EFD8-B8A,28051493788,Danilo Viana,1965-08-12,PJ_MEDIO,5930,33376.9,True,2018-05-29
DB1ACF8D-CC1,10843569700,Srta. Emanuelly da Mota,1975-09-28,PRIME,8043,63182.07,False,2020-03-19
5AE7E0D4-EA7,29754603170,Dr. Henry Alves,1989-08-20,PJ_PEQUENO,4501,,True,2022-05-22
280348D2-586,73914056207,Isis da Conceição,1957-08-10,PRIVATE,9445,53612.53,False,2016-01-18
03ADE5C0-231,59267341855,Sr. Henry Gabriel Cardoso,1971-01-27,PRIVATE,4680,,True,2015-04-11
363D1E65-C74,34201956806,Juan Ferreira,1954-02-23,PRIME,8784,49485.01,True,2020-02-09
E4BD1D7A-0BC,20368457974,Manuela Sá,1987-03-08,PJ_MEDIO,4185,57890.15,False,2020-07-17
A20CBC5F-EC7,51823476007,Maria Cecília Brito,1985-11-08,PRIME,3417,53000.55,True,2023-06-03
064B98C3-FF8,17894026387,Bella Ferreira,1959-07-25,PJ_PEQUENO,4585,,False,2015-07-25
82D18683-E1E,32905618795,Leonardo Melo,2000-01-04,PRIME,2988,37332.25,False,2022-06-27
8A7EE6D7-B0C,41257098667,André Nunes,1997-08-26,PJ_MEDIO,6198,76078.11,False,2021-11-14
7680BE54-C49,68527341026,Ayla Aragão,1995-04-15,PJ_PEQUENO,AGENC-???,36504.22,True,2023-05-05
51522925-242,78960415375,Sr. Davi Lucas Fernandes,1992-08-02,PJ_PEQUENO,5246,60514.48,False,2023-08-03
979B0745-34A,93487015684,Juan Leão,1996-10-07,PJ_PEQUENO,4919,23055.9,True,2023-01-01
D0AF65E0-E13,04985312606,Lucas Gabriel Macedo,1975-08-20,PRIME,5451,27864.03,True,2016-07-20
E9BE8CCC-D7F,52489013670,Srta. Maria Clara Pires,1963-07-14,PRIME,7275,,True,2015-09-21
756A19E6-BE2,85316924070,Srta. Emanuelly Andrade,1987-03-22,PJ_PEQUENO,6421,44094.97,False,2015-09-13
55E69AFE-A57,21084756307,Dr. Isaque Moraes,1968-07-22,PJ_PEQUENO,7381,72529.82,True,2023-08-02
B64B99C1-759,12657098401,Vitor Gabriel Pires,1984-02-16,PJ_PEQUENO,1096,75505.22,False,2023-06-14
B5846793-E1D,92173608487,Caroline Jesus,1984-12-27,PJ_PEQUENO,9818,60179.98,True,2020-06-22
575CA08B-A2B,60958271321,Vitor Correia,1969-09-08,PRIVATE,8140,39622.9,False,2018-10-08
05C9F57F-B91,91540836215,Srta. Mariah Nunes,1986-04-10,PRIME,8657,73684.02,True,2019-06-02
530A76A7-DE2,69132078404,Allana Ribeiro,2000-08-19,VAREJO,2375,51955.85,True,2020-03-06
CDEF41F2-823,12360748580,Marina da Luz,1966-04-21,VAREJO,5262,,True,2020-02-06
3A4CB30F-C62,91568743246,Alice Casa Grande,1979-04-29,PRIVATE,7211,,False,2017-10-30
3BBAFF8C-B3D,45327069125,Sra. Maitê Pinto,1957-05-07,PJ_PEQUENO,1317,,True,2018-12-04
9F27372F-0EA,10695247352,Srta. Luara Castro,1970-02-12,VAREJO,AGENC-???,60707.31,True,2017-03-27
4CD794E0-9A4,75340896200,Valentim da Costa,1951-10-30,PJ_MEDIO,3496,20225.78,False,2022-07-05
FEEE297E-156,14308257905,Melina Cavalcanti,1960-04-06,PJ_MEDIO,4571,38005.17,False,2023-08-08
E76D4130-AC0,70642391831,Caio Borges,1983-02-04,PRIME,2876,62556.66,True,2018-06-28
FE65ECA9-B61,17453862035,Luigi da Mota,1959-09-13,PJ_MEDIO,1420,74417.64,False,2019-06-13
322913DE-35E,24573896155,Thales da Mota,1967-10-17,VAREJO,4978,9499.25,False,2022-09-03
DFCD2C18-F99,04271389650,Laura Lima,1960-11-10,PJ_MEDIO,1672,28755.5,False,2022-06-02
DF7C1B20-5F7,08319457297,Sr. Marcos Vinicius Silva,1983-03-31,VAREJO,9289,52332.15,True,2019-09-17
B708791A-A7D,34672905829,Nina Castro,1993-12-23,VAREJO,8102,,False,2022-12-07
E4EC4215-674,78095324647,Srta. Gabrielly Montenegro,1963-09-23,PJ_PEQUENO,3885,59102.93,False,2021-11-27
DA7CCD76-7CF,91548372609,Emanuel Abreu,1998-04-13,PJ_PEQUENO,8616,,False,2018-08-13
D8949C2C-EE3,29376041534,Miguel Martins,1972-01-10,VAREJO,5569,70708.05,True,2023-06-01
17FC08CD-AE1,62439805106,João Guilherme Souza,1991-09-10,PJ_MEDIO,7209,27907.13,False,2018-08-24
B2F3BEFB-BEB,18256403942,Murilo Moraes,1966-04-25,PJ_PEQUENO,4475,29353.76,False,2018-10-26
4E0AB335-95E,60358792177,Yuri Araújo,1975-02-02,PJ_MEDIO,5526,45129.6,True,2015-12-17
79A34B07-386,89642137003,Natália Caldeira,1971-08-27,PJ_PEQUENO,9004,45081.33,True,2022-09-29
BA21EE8B-387,01524937606,Anthony Nascimento,1992-09-17,PJ_PEQUENO,8342,63745.23,True,2018-04-20
92C74356-656,53840297141,Dr. Mateus Moreira,1969-11-18,PJ_PEQUENO,4986,25537.17,False,2020-04-22
8691743E-039,25784361937,Gabriela Barros,1999-08-28,PJ_MEDIO,6632,34902.05,False,2018-12-12
64AB5E2A-AB6,71053486901,Davi Luiz Leão,1990-09-16,PRIVATE,6023,21235.19,True,2023-02-02
186E8C8C-BBB,12605384942,Alice Correia,1967-04-12,PRIVATE,2958,59816.16,True,2017-02-23
3738ABB2-BE5,80362719586,Heloísa Barbosa,1969-05-31,PJ_PEQUENO,5530,58379.92,False,2016-02-16
844BEE7F-033,82760194558,Sabrina Costela,1967-06-01,PRIVATE,4727,,False,2015-02-27
E10B51F1-ED1,64589071339,José Pedro da Conceição,1997-12-02,PRIME,AGENC-???,5072.98,True,2021-03-16
9E3FA193-F79,81024395723,Sra. Alexia Marques,1976-03-17,PRIME,9042,9553.13,True,2021-06-09
54DA0357-7E3,64382705126,Daniela Silva,1975-07-06,PJ_PEQUENO,8843,36076.8,True,2015-07-30
BA57B98E-A63,10897546202,Sra. Maria Laura Carvalho,1972-08-26,PJ_PEQUENO,2869,66036.08,False,2020-07-07
E8A3A217-694,68927154355,Dante Rios,1956-08-24,PJ_MEDIO,1878,,False,2015-12-15
4086C172-B50,35024168933,Joana Monteiro,1972-04-07,VAREJO,7818,49095.94,True,2023-09-13
A9FBDC96-EAE,91237408504,Ana Carolina Rezende,1996-11-18,PJ_PEQUENO,8381,72817.59,False,2021-08-07
8CED0714-23B,63915824755,Pedro Lucas Campos,1988-06-21,PRIVATE,1986,49356.03,True,2023-07-22
429FB03D-EA0,83479625029,Oliver Andrade,1968-08-22,PRIME,5335,,True,2017-09-09
E9833D42-EDD,41629375080,Lorenzo Machado,1965-08-05,PJ_MEDIO,2229,13787.81,False,2020-01-20
E50AD39D-806,92501846702,Aylla Monteiro,1992-02-28,PRIVATE,1534,19670.88,False,2022-11-19
E06CDDAE-574,36107594299,Dr. Arthur da Mata,1990-09-25,VAREJO,4824,74027.02,True,2019-10-08
AFF498D6-933,30875469175,Pietra Pereira,1960-04-18,PJ_MEDIO,4683,52339.33,False,2024-04-08
4E45FBB0-9A5,61754208371,Rhavi Lima,1962-10-05,VAREJO,1977,14524.94,False,2021-09-03
E8807337-33E,15304726871,Catarina Borges,1975-11-23,PJ_PEQUENO,3037,38292.79,False,2022-11-06
BE0B0BA5-CF4,79184063548,Maya Melo,1986-02-10,PRIVATE,9199,43888.55,False,2015-11-26
C0343B95-72F,57248960365,Mariane da Rosa,1953-07-30,PJ_PEQUENO,AGENC-???,48891.52,True,2016-01-10
9B02D2BB-614,47813569237,Maria Sophia Fernandes,1970-07-16,PJ_MEDIO,1339,79966.43,False,2021-06-18
F1B40787-DA2,61293045799,Hellena Araújo,1953-08-11,PRIME,8708,42238.66,False,2018-02-13
956F2A43-FF3,93125078423,Maria Fernanda Moura,1966-04-14,PJ_MEDIO,AGENC-???,51330.6,False,2016-01-09
28E7EF19-9E2,83792501686,Vinicius da Rosa,1992-03-02,PRIVATE,7690,27664.71,True,2016-10-20
753B5EED-040,91075236886,Maria Helena Santos,1979-08-04,PJ_PEQUENO,9117,,False,2024-02-15
9C8B2AE9-0E8,42581967382,Srta. Maria Fernanda Brito,1999-05-09,VAREJO,8451,8412.69,False,2018-08-17
72E286C9-C67,21873950659,Sra. Marcela Silva,1960-05-26,PJ_PEQUENO,9431,66256.79,True,2022-05-17
101DAD24-823,98167405320,Oliver Sousa,1998-09-05,PJ_PEQUENO,7770,,False,2021-12-25
0F2D2048-30C,25690831433,Thomas Casa Grande,1994-09-21,PJ_PEQUENO,1845,17479.32,True,2018-03-25
368BA975-797,06471298501,Oliver Cunha,1989-04-22,PJ_PEQUENO,2989,3766.25,True,2022-12-17
979EAE56-E9E,51762894319,Juliana Porto,1964-03-17,PRIVATE,1224,44851.74,True,2017-07-09
75D983FE-6ED,02587361435,Pedro Henrique da Luz,1960-03-06,PJ_PEQUENO,2924,,True,2020-08-03
381068DD-E68,14953278682,Sr. Anthony Gabriel Câmara,1976-03-08,PJ_MEDIO,5479,34115.99,False,2020-04-18
78CC9C25-515,93278465083,Diogo Moreira,1971-11-13,PJ_PEQUENO,3369,31611.5,True,2015-10-13
AF1E8B6E-1C3,64913075810,Elisa da Luz,1974-10-14,PJ_PEQUENO,6568,74838.5,False,2024-03-14
818E6506-822,78904516366,Agatha Albuquerque,1950-03-26,PRIVATE,5891,67241.86,False,2016-08-31
66BC13C9-A6E,98721540667,Milena Costela,1990-01-23,PJ_MEDIO,8935,28592.23,False,2020-02-09
D7F65865-425,31540796299,Melina da Cruz,1978-11-14,PRIME,4912,46386.11,True,2023-09-12
19A3C311-49B,87059312404,Anna Liz da Cunha,1986-11-08,VAREJO,6213,59959.35,False,2019-05-01
43FB8E2B-0A1,28691534737,Noah Araújo,1963-08-25,PJ_PEQUENO,1606,11410.33,False,2016-02-16
85659871-331,69045138700,Thomas Fogaça,1989-07-02,VAREJO,9617,72969.67,True,2023-02-07
B64F2F79-DEF,36879120512,Dr. Pietro Nascimento,1962-12-07,PJ_PEQUENO,3529,7374.02,False,2018-10-18
385EF5C5-192,37186290469,Vinícius Borges,1985-08-29,VAREJO,6383,68408.79,False,2018-07-21
7B69B74C-ED2,45013972680,Luana Silveira,1993-10-11,PJ_MEDIO,1588,,True,2022-01-29
29A3EB7B-C42,73521684946,Sr. Paulo Cunha,1975-10-13,PRIME,2480,35566.76,True,2023-07-12
38DCB05D-D29,54193768066,Maria Moraes,1959-01-07,PJ_PEQUENO,3725,55979.09,True,2015-07-08
540A5B65-E45,14362870903,Bárbara da Mota,1979-02-07,VAREJO,5806,29639.37,False,2016-08-19
1AF38B98-A04,29407861511,Luna Souza,1971-11-28,PJ_MEDIO,7751,,True,2016-11-27
604602CA-298,40892657383,Olivia da Cunha,1965-09-15,VAREJO,7267,50147.26,True,2020-07-31
FA6D4CCA-0EA,34269071516,Srta. Ayla Pacheco,1962-11-03,PRIME,8555,51575.51,False,2017-11-11
DEC78E5E-AD6,97203654125,Luiz Miguel Gomes,1950-11-04,PJ_PEQUENO,5712,,True,2015-10-30
8A719BD6-76A,87420165920,Luara da Luz,1989-08-18,PRIVATE,5901,51656.69,False,2022-09-28
5DA9C142-1BD,05238796447,Ana Júlia Barbosa,1972-06-09,PJ_PEQUENO,5949,17138.53,False,2020-06-02
833BA79B-5BA,71906385203,Ana Carolina Porto,1959-07-27,PRIME,AGENC-???,46395.93,False,2022-11-04
89F8A0C7-3E3,74162098387,Sra. Alice Pereira,1976-06-27,VAREJO,7484,,True,2021-10-19
0397F3FB-6DD,47360219850,Kaique Costa,1994-07-25,PRIVATE,4770,49154.6,False,2017-06-16
4DFB4CF6-709,47960358265,Vitor Hugo Santos,1967-01-22,PJ_MEDIO,5106,54704.51,True,2022-01-17
61478729-603,69127035859,Ravi Lucca Mendes,1958-09-19,VAREJO,6061,63405.92,True,2021-07-01
B159F02B-F54,40539728683,Ágatha Cardoso,1982-09-25,PRIME,2476,,False,2023-05-20
4BD54C9B-A1C,74530296865,Dra. Fernanda Machado,1987-04-12,PRIME,4289,11874.54,False,2020-12-14
B3E20D19-8C1,02459316780,João Lucas Azevedo,1995-01-07,PRIVATE,3695,,False,2024-01-17
6F6A4F1B-FA9,89423067131,Bruno Sampaio,1976-06-24,PRIVATE,2886,38264.01,True,2016-07-30
9023493D-84E,54639127855,Isaque Freitas,1970-03-29,PJ_PEQUENO,6992,8588.78,False,2015-02-27
B17C155A-27C,47386905157,Maria Júlia Carvalho,1973-09-22,PJ_MEDIO,3024,37200.7,False,2021-07-22
E40B6DE4-EB5,90678532168,Pedro Henrique da Cunha,1984-03-08,PRIVATE,2775,54474.67,False,2015-04-13
D4069C69-B1B,82963174004,Davi Lucca Silva,2000-05-14,PRIVATE,4626,52340.71,False,2022-11-11
23A6BF91-5C1,04975183250,Beatriz Pires,1977-02-10,PJ_PEQUENO,AGENC-???,12472.5,True,2018-05-31
59171798-27E,32196085405,Maria Luísa Pastor,1994-03-13,VAREJO,2592,19931.8,True,2019-05-11
7A045C19-2BC,35628147044,Leandro da Costa,1990-09-12,PRIVATE,9850,34401.45,True,2019-08-27
83A47AD3-1CC,64780395100,Beatriz Rios,1958-11-19,PJ_PEQUENO,7686,,False,2015-05-15
1E2B51B7-A9D,58103629405,Allana Caldeira,1983-03-30,PRIME,8264,36408.62,True,2019-01-25
96719259-311,56078291467,Dr. Guilherme Freitas,1958-11-30,PRIVATE,AGENC-???,72283.15,False,2015-09-06
1F11B311-518,56438172928,Sra. Emanuella Rezende,1985-09-20,PRIVATE,4109,77504.24,False,2016-01-11
38288769-83C,80172549620,Paulo Melo,1969-01-11,PJ_MEDIO,1349,5470.41,False,2017-09-24
3D213E0B-F3D,39267815482,Raul Araújo,1961-04-19,PJ_MEDIO,4362,6885.9,True,2021-07-29
89A2D590-65A,79420538656,Vicente Pimenta,1969-05-17,PRIME,6383,62287.93,True,2018-02-09
85F33858-EDE,68704951301,Davi Lucas Siqueira,1962-12-25,PRIME,9850,21176.35,True,2016-03-26
77960ACF-FF3,40561327980,Sr. Luigi Pastor,1952-04-24,PRIME,1243,29622.02,True,2021-08-08
887EFD62-ACF,12346758035,Ana Julia Rios,1979-01-18,VAREJO,3854,22331.35,True,2023-04-27
9CA26306-18E,72109856467,Agatha Fogaça,1987-10-08,PJ_MEDIO,2862,60034.72,False,2020-01-11
7A692EA4-58F,21507846371,Davi Miguel Porto,1982-06-25,PJ_MEDIO,2786,,True,2021-11-24
F03BBCD5-6E6,70436291525,Srta. Lavínia Caldeira,1953-11-21,PJ_MEDIO,5941,,True,2015-09-07
49433C47-76E,61894235746,Manuela Aragão,1992-12-21,PJ_PEQUENO,7984,55358.65,False,2022-12-27
27FFC6ED-50C,68209145711,Luiz Gustavo Lima,1989-10-17,VAREJO,2323,26785.78,True,2015-09-27
CA92E85C-312,85671394066,Ana Sophia Mendes,1961-04-28,PRIVATE,9984,,False,2021-09-12
1318D6C9-FC2,97501842620,Bella Oliveira,1997-08-07,PRIVATE,8433,,False,2016-02-11
9CF56F1C-FC8,64920531761,Sra. Alícia Marques,1960-04-07,PJ_MEDIO,4522,35260.49,True,2019-08-22
BFC0D882-A94,19756832428,Diogo da Rosa,1980-05-29,PJ_PEQUENO,7532,,True,2018-07-04
4B44E817-936,43096271887,Maitê Carvalho,1988-04-15,PRIVATE,5176,,True,2022-09-14
D727A643-606,41365298728,Lucca Correia,1992-07-19,VAREJO,2494,66794.09,True,2019-11-04
8330F0C3-27E,04296518720,Srta. Daniela Pastor,1958-08-31,PRIVATE,3131,45175.1,False,2022-07-07
59E8713A-9DE,16329458006,Samuel da Paz,1960-12-19,PJ_PEQUENO,6793,70078.18,False,2023-02-01
2C166F76-A62,74308259665,Calebe Pimenta,1954-08-13,PRIVATE,6119,29104.23,True,2016-09-25
EF3B6A12-38F,41052789323,Gabriela Cavalcanti,1993-04-05,PRIME,2773,28983.95,False,2016-04-15
1414A123-28D,30685791475,Sra. Cecilia Cunha,1974-12-29,PJ_MEDIO,4705,64866.88,True,2021-10-30
2B24089E-CB0,86291054701,Isis Silva,1973-12-29,VAREJO,3955,22951.73,False,2018-10-23
1EFA24F8-628,63071254970,Antonella Castro,1981-06-29,VAREJO,3972,69784.22,False,2015-10-13
04F2ACCE-FF7,23614978591,Aylla da Rocha,1962-09-23,VAREJO,2503,60069.77,True,2019-03-21
871E1AFF-E4E,38140562998,Sr. Bryan Rocha,1987-09-01,PJ_PEQUENO,6585,13856.63,False,2023-02-03
3C3D95F4-EA3,28739106403,Thales Nascimento,1979-02-07,PJ_MEDIO,2391,70842.36,True,2016-10-06
709B0DA6-209,47531206862,Luísa Caldeira,1954-06-19,VAREJO,5458,36284.37,False,2020-06-12
E60F25AD-71D,01854729314,Bárbara Nogueira,1989-08-28,PJ_PEQUENO,5475,,True,2018-11-14
442A73B3-17B,23069751407,Sara da Cruz,1988-07-27,VAREJO,5640,54740.1,False,2020-11-28
ADC3617E-CCD,42398061515,Dr. Ravi Teixeira,1977-09-02,VAREJO,4612,32528.18,True,2015-02-01
987040B9-E18,23470589674,Sr. Dom Andrade,1968-05-04,PRIVATE,4460,61736.94,False,2018-03-31
5AD7E2A7-89B,63024159851,Isabela da Paz,1979-06-09,VAREJO,1126,40544.75,False,2016-12-20
D264F3B0-8E5,87529031686,Sra. Anna Liz Campos,1961-08-04,PJ_PEQUENO,9725,56738.19,False,2015-10-23
38BD8BDC-9A4,76328915012,Helena Ramos,1985-08-16,VAREJO,8147,2971.21,True,2018-07-06
2E4A6CAA-B72,19286073496,Pedro da Mata,1988-07-06,PJ_MEDIO,7626,57195.67,False,2018-03-31
EDABB402-389,06985127312,Breno da Paz,1960-05-02,PJ_PEQUENO,1341,77346.68,True,2023-12-27
2B6EBD16-137,13469025770,Bryan Caldeira,1991-04-12,PRIVATE,2443,35781.87,True,2017-09-23
83EE8BCE-B49,34708652992,Manuela Lima,1989-02-01,PJ_MEDIO,7560,42631.06,False,2018-06-24
5206CE84-910,43675902838,Esther Abreu,1980-06-17,PRIME,6456,62660.75,True,2020-09-21
FE5DCFC8-270,24190537888,Davi da Costa,1960-03-25,PJ_MEDIO,9355,16721.44,False,2018-12-09
764F3554-A8E,70198352603,Rael Sousa,1963-04-02,PRIME,2684,12995.87,True,2016-12-11
305071EE-F7D,21038674913,Aurora Pimenta,1963-09-19,VAREJO,3902,76176.43,False,2020-03-15
65F8281A-0D9,54763091875,Maria Laura Freitas,2000-07-29,PJ_MEDIO,8354,,False,2022-01-13
F4F33726-DEC,84312690570,Clara Rios,1978-05-13,PRIME,8205,6860.47,False,2022-01-30
E08E75E1-1DC,61309847231,Marcos Vinicius da Mota,1977-03-02,PRIVATE,1920,,True,2018-06-25
062C9E67-CC7,91287450350,Ana Vitória Novaes,1991-06-05,PJ_PEQUENO,1616,5965.87,False,2015-11-11
CF9FDC54-F6F,43710925860,Diego Campos,1958-02-06,PJ_MEDIO,9307,31681.87,True,2020-01-17
737DACCB-F9F,51843620707,Sr. Leonardo Farias,1966-11-21,PRIVATE,8792,40857.33,True,2020-01-20
