cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,vl_renda_mensal,fl_ativo,dt_cadastro
2441E8AD-AEF,94280157685,Carlos Eduardo Peixoto,1970-02-10,PRIME,61253.54,False,2023-04-29
C2C3F58D-EC8,54807362992,Yasmin Farias,1973-07-05,PRIVATE,56572.66,True,2019-12-23
8B0495FC-941,54708126344,Raul da Cruz,1971-12-17,PJ_MEDIO,,True,2019-08-26
0BBD6B2C-2A9,81079642331,Hadassa Rios,1985-09-02,VAREJO,,False,2024-05-09
50EAEE67-E7A,29586374092,Dra. Bella Monteiro,1958-09-05,VAREJO,59587.68,True,2023-03-03
969379F4-DCB,05938146224,Lorenzo Vargas,1988-11-12,PJ_MEDIO,50103.0,False,2022-04-11
A1BA44D1-CE2,26150789411,Bryan Pires,1981-03-21,PJ_MEDIO,47609.61,False,2016-08-31
DAFE4B22-59F,41350729841,Maria Helena Cirino,1959-08-30,PRIVATE,31025.3,True,2024-01-18
9CE2FB49-ECD,08914765202,Maria Luiza Cirino,1980-04-13,PRIME,69526.58,False,2022-04-07
B3D452B1-AFE,93268150721,Leandro Freitas,1995-10-14,PRIME,72757.6,False,2015-09-01
784F67AE-519,45608972120,Lorena Novaes,1962-11-08,PRIME,,True,2023-10-23
AB4E6857-B04,49385720600,Ana Sophia Rocha,1972-06-09,PJ_MEDIO,48326.74,False,2017-08-19
1572F3A1-8A2,87459162094,Alexia Macedo,1957-09-26,PRIME,9961.94,True,2022-07-09
4372915C-1A4,62193580740,Henry Câmara,1980-02-04,PJ_PEQUENO,47618.92,True,2022-05-07
DD1B0F67-548,70269135812,Ágatha Santos,1972-10-20,PJ_MEDIO,,False,2021-06-17
7A337876-90E,05314892723,Erick Garcia,1976-03-22,PRIVATE,71547.18,True,2015-11-25
1AD4E613-B0C,65247301943,Gael Pacheco,1991-05-30,PRIME,41509.1,False,2017-05-17
1031A253-92F,90738126403,Dra. Aurora da Mota,1997-06-11,PJ_PEQUENO,,False,2022-10-12
BC000534-083,32541679025,Vitor Mendes,1994-08-29,PRIME,22437.95,False,2021-09-27
4C9128FA-2CA,57138062940,Caleb Azevedo,1962-06-14,PJ_MEDIO,23599.11,True,2016-04-18
B4ADC62C-35C,53698041766,Isis Lopes,2000-02-26,VAREJO,7864.62,True,2021-07-17
0E1F1B4A-D89,34097126822,Ayla Cassiano,1952-06-13,VAREJO,,True,2015-04-24
5F7CDAFF-2AA,96450712325,Yuri Mendonça,1989-11-30,PJ_MEDIO,52756.99,True,2019-03-23
B68A03E2-E38,21384675035,Antonella Melo,1985-03-19,PJ_MEDIO,78762.12,True,2018-10-02
31E15E77-813,94523160805,Davi Miguel Rocha,1958-07-16,VAREJO,15989.93,True,2016-03-02
7464E5C3-95D,81943260796,Matteo Viana,1965-11-16,PRIVATE,45484.44,False,2017-01-10
842D8C60-E46,48165379020,Sara Melo,1952-05-09,PRIME,7304.38,True,2018-10-05
DC728F4D-6BC,01486953298,Fernando Azevedo,1961-12-02,PJ_MEDIO,20807.52,True,2021-01-30
9292F9F7-C26,92486130713,Maria Clara Lima,1980-03-29,PRIVATE,45588.3,False,2020-05-10
99E72AD9-66A,53412890642,Rafaela Fogaça,1984-10-01,PRIME,,True,2024-05-11
4A9793D2-FC7,69754810320,Sara Cavalcanti,1981-10-07,PJ_MEDIO,73450.98,False,2015-01-07
D6B97D13-7FF,08614392524,Pedro Henrique Nascimento,1955-02-14,VAREJO,3011.82,False,2020-10-14
AC8C14B2-5BF,46751092334,Davi Lucas Azevedo,1968-02-29,PRIVATE,,True,2022-03-23
0B15A071-CAA,80341265780,Alexia Cunha,1980-06-11,VAREJO,34390.36,True,2022-10-28
58149A6D-9EF,28795406310,Caio Farias,1969-01-21,PRIME,39426.08,True,2021-07-03
0FAE9672-BAA,15342079888,Liam Costela,1959-02-27,PJ_PEQUENO,5183.89,True,2021-09-18
EA90343B-250,16978452319,Dr. Matheus Porto,1996-09-13,VAREJO,66958.28,False,2016-02-07
29BF206C-A29,37450862956,Davi Lucas Nunes,1981-06-11,PRIME,79669.79,True,2016-01-21
A071F27C-813,36704215808,Dra. Joana Rios,1963-08-27,PJ_PEQUENO,1595.83,True,2016-08-16
5432F631-718,54689102767,Miguel Melo,1988-02-07,PJ_PEQUENO,22385.03,False,2021-09-17
75765A47-627,18426597319,Vicente Novais,1978-06-05,PRIVATE,33911.92,True,2021-07-22
FDD90F26-F52,69317485219,Stephany da Luz,1963-07-23,PRIME,37140.46,True,2016-11-09
F9DDC6B8-056,25134680744,Sra. Ágatha Macedo,1960-08-22,PRIME,,True,2020-08-07
7FF7C1CB-120,52807194397,Valentim Pereira,1986-04-21,VAREJO,47542.5,True,2020-05-11
35332FB4-4C6,90675183286,Isis Rios,1950-01-26,PJ_PEQUENO,62439.11,True,2022-03-29
6D4A5853-712,56074329125,Manuella Santos,1984-06-24,PJ_PEQUENO,13019.8,True,2016-04-16
53FED747-24D,50716283921,Zoe Cavalcante,1962-04-13,PRIME,75639.02,True,2020-08-21
1FA233F7-91A,02435789629,Anna Liz Cardoso,1958-01-28,PRIVATE,,True,2023-07-16
D7C0835C-F70,53748216017,Maria Alice Andrade,1996-01-03,PRIME,60152.29,False,2017-12-16
A12C9F35-08E,09753681259,Eloá Rodrigues,1990-10-14,PRIVATE,11147.78,True,2018-04-01
0E7C2009-E4F,25978610401,Noah Nascimento,1951-06-02,PRIVATE,43239.37,True,2022-12-30
CFFD0509-4A1,29517468067,Milena Araújo,1997-05-05,PJ_MEDIO,,False,2023-05-16
EE088103-AE5,60324815905,Francisco da Rocha,1956-12-25,VAREJO,,True,2020-05-01
4295F594-235,38647150910,Lucas Gabriel Lima,1950-10-14,PRIME,50930.53,False,2016-11-08
50291E77-31D,97405238629,Nina Silva,1996-10-30,PRIVATE,18759.41,False,2019-09-20
A191B2AB-D40,78412360931,Vinicius Cunha,1970-07-03,PRIME,8646.46,True,2021-12-02
A1C1208F-BA4,58240371671,Arthur Miguel Fonseca,1972-09-30,PJ_PEQUENO,,True,2020-07-19
A008AA01-ACC,53016279452,Sophia Silva,1963-04-12,PRIME,18980.96,True,2022-12-31
176F490E-B40,49835612005,Ana Liz Ramos,1951-06-30,VAREJO,37461.46,False,2016-09-17
F468FCAF-495,58476092300,Felipe da Cunha,1971-01-16,PJ_PEQUENO,30862.86,False,2020-03-04
CE27150C-2CD,79638502410,Carolina Costela,1959-11-12,PRIME,52660.21,True,2015-11-08
E11300F0-558,29371604506,Yuri Macedo,1989-01-31,PJ_PEQUENO,74873.24,True,2015-05-18
0A56F050-E27,86912073450,Sr. Bernardo Cirino,1963-10-02,VAREJO,78903.49,False,2019-07-12
185EDD92-8EA,59326714837,Mirella Cavalcante,1971-02-05,PRIME,36975.57,True,2021-08-02
87CCB531-4B1,31504926889,Marcos Vinicius Nascimento,1983-05-19,PJ_MEDIO,41800.06,True,2020-10-31
E11865A6-CC4,87310264940,Catarina Aparecida,1983-09-12,PRIVATE,22750.06,True,2019-05-12
2E795B78-98F,76034985200,Lunna Ferreira,1987-10-24,PRIME,28005.14,False,2020-09-02
49243E84-D57,41308765207,Evelyn Rezende,1969-09-19,PRIME,13397.82,True,2015-09-19
03CBA4DC-836,58740126307,Dr. Bento Moura,1993-01-25,PJ_PEQUENO,69386.9,False,2023-05-01
0FC99710-285,24608315790,Rebeca Gonçalves,1976-06-20,PJ_MEDIO,,False,2019-06-05
0AF538CB-933,20861975430,Isadora Sousa,1999-05-25,VAREJO,51949.81,False,2024-04-03
E61F606B-B9E,87046532117,Sophie Vasconcelos,1980-09-03,PJ_PEQUENO,45076.14,True,2019-04-12
E63DEF47-59C,42139678591,Larissa da Mata,1983-11-22,PJ_MEDIO,,True,2021-09-01
BDDC3D6B-700,81407593684,Hellena Barbosa,1984-12-10,PJ_MEDIO,70996.52,True,2020-06-04
25AEB7D2-52B,30781246571,Giovanna Guerra,1983-04-07,PJ_PEQUENO,17971.01,False,2023-02-18
1598F04D-4D9,58167294030,Heloisa Andrade,1965-08-25,PRIME,43433.99,False,2015-11-08
3803B7C6-99B,78430962565,Maria Costa,1954-01-25,VAREJO,46331.21,False,2021-01-03
00593393-618,58902617467,Ana Sophia Alves,1950-06-18,PRIVATE,34096.76,False,2015-08-06
77868629-E65,03126758959,Pedro Lucas Fogaça,1969-07-24,PRIVATE,56563.81,True,2022-08-15
8C7B5AAE-74E,69425810389,Dr. Oliver Melo,1999-05-27,VAREJO,28128.87,False,2019-03-03
FC39796F-8FE,61382507968,Dom da Cruz,1993-02-18,PJ_MEDIO,39376.64,False,2019-07-13
805A2B13-5B9,85013674271,Alana Borges,1967-04-30,PRIME,,False,2022-05-28
37993FF3-033,19786035410,Cauê Vieira,1986-10-12,PJ_PEQUENO,37211.26,True,2022-04-25
664BBB9C-DE3,09456723810,Milena Camargo,1963-06-22,PRIME,30059.23,False,2022-07-29
0A66D73C-BF6,25618934051,Caleb Duarte,1959-08-27,PJ_MEDIO,79693.44,True,2018-02-12
631D0F4F-0B3,56742390107,Esther Moura,1973-06-05,PJ_PEQUENO,59588.33,False,2023-05-17
7A932CB8-AAD,91842573004,Rebeca Pereira,1958-02-08,PJ_PEQUENO,22848.05,False,2018-02-02
C16E066D-300,86407293529,Ana Sophia Almeida,1997-07-31,PJ_MEDIO,62836.83,True,2021-05-01
78079A7A-543,71983462004,Ana Beatriz Borges,1984-07-17,VAREJO,70546.96,True,2024-01-02
9CEB37C9-716,21708534997,Isaque Rocha,1960-01-24,PJ_MEDIO,72662.83,True,2016-03-12
D896C7FA-538,72384516973,Dr. Thiago Garcia,1998-12-27,VAREJO,,False,2015-05-11
009D3431-DA9,18479632500,Srta. Ana Vitória da Rocha,1987-12-25,VAREJO,46941.65,False,2017-10-15
B46C6024-2A5,17609853410,Dra. Sabrina da Mota,1972-09-25,PRIVATE,33506.62,True,2023-03-30
10D5045A-A2D,48576209365,Beatriz Fonseca,1997-02-07,PJ_MEDIO,25860.12,True,2022-04-29
B7406692-374,13856940766,Valentina Mendonça,1962-08-31,PRIME,,True,2023-08-31
63CAE348-6A6,98140275379,Benício Borges,1951-11-09,PJ_MEDIO,36533.04,True,2022-08-17
9FA29050-254,16702395868,Srta. Beatriz Cirino,1966-04-12,PJ_MEDIO,58588.55,True,2023-05-13
CE051147-E9F,21460578317,Heitor Siqueira,1995-12-11,PRIVATE,68535.66,True,2020-05-17
8EEE1E71-F90,71592480667,Raquel Vargas,1994-07-18,PJ_PEQUENO,4084.71,False,2022-06-02
96CC3B14-717,81794260331,Luara Pereira,1954-07-06,PRIME,8655.67,True,2023-09-09
34805FAA-631,65421798364,Sra. Eloá Silva,1984-04-08,PRIME,,False,2019-10-18
E95365FE-A7A,84739051648,Dr. Arthur Silva,1986-08-10,PRIVATE,28067.67,True,2017-12-31
B75C9B9D-110,06847931566,Luísa Barbosa,1993-02-15,PRIVATE,21244.65,False,2015-11-11
E6B421BF-0DD,95201687458,Cauê Barros,1954-12-05,VAREJO,46214.95,False,2018-10-24
C90BF2D5-CB3,31740859260,Yago Lopes,1982-05-19,PRIVATE,,False,2016-07-11
1236788A-155,12376509840,Dante Gomes,1969-03-11,PRIME,37250.18,True,2018-01-31
D21C447A-A35,56017934252,João Lucas Castro,1951-03-05,VAREJO,52298.36,False,2017-02-16
4BA4371C-B35,70584169230,Srta. Isabel Monteiro,1980-12-08,PJ_PEQUENO,33397.75,False,2015-03-02
75E09447-478,42973185637,Srta. Manuella Novaes,1962-12-20,PJ_MEDIO,61912.03,False,2016-07-25
1A3FC28B-4D3,10425368726,Juliana Porto,1954-12-13,PRIME,29691.74,False,2022-08-24
817CDD2C-3F1,24639571070,Ágatha Viana,1975-11-14,PJ_PEQUENO,15007.3,True,2017-12-18
CD8A6E40-E00,98243650105,Eloah Camargo,1962-10-15,PRIVATE,42331.72,False,2016-02-13
1E56A757-227,75980342656,Dra. Nina Moreira,1990-07-26,PRIVATE,14092.69,True,2021-03-26
DBB941F5-41B,21305647807,Sara Moraes,1985-04-24,VAREJO,79295.31,False,2021-08-01
B5E15ABB-8B9,02157346961,Hellena Albuquerque,1975-04-29,PRIVATE,28839.67,False,2016-01-15
8BE390A7-27B,50671834207,João Pedro da Luz,1991-09-18,PRIME,12036.91,False,2016-07-03
F80CB6E5-1E1,89706235400,Ágatha da Luz,1970-11-16,PJ_MEDIO,17376.52,True,2018-09-28
6499165B-B19,39471065801,Fernanda Costa,1986-09-01,PRIVATE,35394.81,True,2020-05-28
0A63259F-3F0,79610254306,Eloah da Cruz,1986-07-11,PJ_MEDIO,,False,2022-03-30
733C8004-468,71962054802,Anthony Gabriel Monteiro,1963-10-05,PRIVATE,17082.55,True,2023-05-11
8D8F76E3-672,23957106443,João Miguel Sousa,1983-03-10,PJ_MEDIO,,True,2018-12-03
0E2576FE-069,63294085729,Luana Vargas,1995-06-17,VAREJO,61892.18,False,2020-07-04
1405B533-E48,85263740956,Ana Lívia Teixeira,1988-03-21,PJ_PEQUENO,39441.44,False,2016-06-19
D39EB500-711,65347098210,Giovanna Siqueira,1973-07-08,PJ_MEDIO,33405.81,False,2022-06-26
3E9F8DE4-3AF,54192870304,Vitor Hugo Rios,1963-04-04,PRIME,67138.86,False,2021-06-21
257B36EC-8C9,91347825088,Ester Teixeira,1970-05-16,PRIME,29713.0,True,2019-07-22
DD628EC3-96B,13706854910,Luigi Pires,1957-05-19,PRIVATE,14978.75,False,2021-09-29
E31CB52B-16B,23401897640,Otávio da Conceição,1983-04-11,PRIME,68677.92,True,2018-04-07
6986E13A-7DC,56729840102,Evelyn Pimenta,1954-11-17,PJ_MEDIO,,False,2022-01-12
1F47DF5C-C32,03217586417,Pietra Cirino,1960-06-27,PRIME,47202.73,False,2020-02-01
024F4293-F39,03146527952,Juan Melo,1951-11-04,PRIME,50887.92,True,2023-11-02
DECECA36-096,84360917520,Isabela Pinto,1957-11-05,PJ_MEDIO,32913.05,False,2021-11-30
97AB5A15-18C,25791846002,Fernando da Costa,1964-10-22,PJ_MEDIO,,True,2020-02-06
64C02135-956,30789651475,Dr. Gael Henrique da Luz,1972-07-14,PRIVATE,29606.98,False,2020-05-31
1AC53107-EDC,62147038903,Bernardo Viana,1969-05-07,PJ_MEDIO,59597.69,True,2016-07-26
061B9CDF-3C4,90382175603,Vinícius Viana,1959-11-03,PJ_MEDIO,6764.44,False,2017-02-06
5D963BE9-0DB,83094725104,Yago Martins,1952-10-06,VAREJO,2560.81,True,2020-03-27
B67B47CE-947,43078156966,Dr. Benjamin Moura,1959-11-02,PJ_MEDIO,11963.46,True,2021-07-04
BD343011-DBF,87301524960,Maitê Costa,1977-04-30,PRIVATE,60235.01,False,2015-03-30
DD49B231-5AF,61970325461,Amanda Martins,1993-09-19,PRIVATE,79567.62,False,2019-07-12
1A99739C-656,27064981530,Alana da Rosa,1956-06-01,PRIME,21313.85,True,2018-02-21
A368DBC9-F68,12435807988,Theo Borges,1957-04-10,VAREJO,,False,2022-12-31
D74EBC97-6D7,96120473599,Breno Ribeiro,1977-06-26,PRIVATE,32561.68,False,2015-11-26
23D0CECF-AD7,13908652740,João Miguel Correia,1977-07-22,PJ_PEQUENO,78819.64,False,2023-09-23
5674A0DE-BA8,31864097566,Ana Julia Machado,1991-06-16,PJ_PEQUENO,47322.53,True,2016-04-05
3E2CCE6B-172,21035846942,Benicio Cunha,1952-08-26,PJ_MEDIO,16905.48,False,2023-03-10
CED2BB97-DAF,71609825411,Yago da Conceição,1967-03-04,PJ_MEDIO,13594.28,True,2023-04-22
C281E219-CB1,95314268051,Emilly Gonçalves,1986-10-03,PJ_PEQUENO,9026.06,True,2023-01-03
82845E41-26B,90831725621,Maria Laura Leão,1974-03-28,PRIVATE,78729.9,False,2017-11-02
F34446F0-4B1,85904237197,Clarice Sampaio,1974-09-07,PRIME,16413.05,True,2019-12-17
3566D2B9-1AC,01423859723,Thiago Pinto,1971-05-19,PJ_MEDIO,64543.23,True,2020-06-28
D65C1F3A-38E,23408175950,Eloah Sá,1961-01-02,PRIME,55992.43,True,2022-01-16
545CD81E-FA5,20785349197,Heloísa Cirino,1955-01-24,PJ_PEQUENO,,False,2023-10-12
90C6AADE-8B2,28754693128,Pietro Cirino,1981-01-24,PRIVATE,,False,2018-02-19
58D829B0-3C7,23504178914,Dra. Hadassa da Luz,1992-01-06,VAREJO,38593.12,True,2024-02-26
8755AE00-360,95874026185,Daniel Monteiro,1971-09-11,PRIVATE,26694.42,True,2020-02-02
65252DB4-2BA,36142857071,Kamilly Machado,1964-10-31,PRIVATE,52893.55,False,2020-02-06
EB84A5C7-C52,78920641501,Emanuella Brito,1950-09-07,PRIME,54743.33,True,2022-09-17
53F9107D-B6F,49567208310,Cecilia da Cunha,1963-01-08,VAREJO,,True,2016-10-10
1270FF83-BCA,96451723061,Antonella Cavalcante,1996-06-17,PJ_MEDIO,46268.85,True,2022-09-18
6D1C439A-8C3,32065974800,Esther Freitas,1975-03-13,PRIME,17030.05,True,2022-03-29
9B1AFB7F-6F7,24837091504,Isabella Vieira,1953-12-03,PJ_MEDIO,63829.91,True,2019-12-23
0E25AD94-591,74859602102,Theo Nunes,1981-04-05,PJ_MEDIO,34309.09,False,2021-05-20
1C9FA11C-E73,93710458684,Clarice Guerra,1969-06-18,PJ_MEDIO,51772.68,False,2021-04-13
3456E5A7-E47,61783594209,Srta. Rafaela Rios,1998-10-12,PRIME,10824.11,False,2019-04-20
8CCAD02E-5DC,83172540626,Dra. Cecilia Duarte,1990-10-01,PRIME,,False,2024-02-03
FD64B811-90C,41579326099,Otávio Nogueira,1952-03-23,PJ_MEDIO,25911.21,True,2018-11-24
8D7E100C-746,15870624967,Kevin Pinto,1998-05-25,VAREJO,67811.75,False,2022-02-22
C50F04C7-7D7,74153829609,Dr. Enzo Sales,1992-11-06,PJ_MEDIO,35685.13,True,2022-04-01
A44AD883-7BD,28710534644,Stephany Porto,1966-02-25,PJ_MEDIO,49564.08,True,2015-10-31
9798E8B0-BD1,78659412346,Yan Fogaça,1997-04-24,PJ_PEQUENO,22522.22,True,2020-12-17
6E9170C6-897,35601478910,Srta. Maria Liz Alves,1951-12-09,VAREJO,57560.17,True,2022-12-25
6AC4E95D-F0C,67512940343,Lívia Alves,1967-06-28,PJ_MEDIO,,True,2015-05-28
395B6680-A96,73096481539,Dom Ramos,1984-10-16,PJ_PEQUENO,,False,2023-12-20
9D5B433C-441,30658129759,Heitor da Costa,1994-07-12,PRIVATE,,False,2022-11-30
477D026D-97F,13805942605,Maria Julia Cunha,1961-11-21,PRIME,,True,2018-06-10
91FAF1C5-B36,16097485301,Felipe Pacheco,1952-01-23,VAREJO,33249.53,False,2017-09-18
E5690283-013,03941756206,Anna Liz Campos,1962-05-19,PRIME,44141.46,False,2015-01-20
A35AF37C-001,52093781441,Lorena Ribeiro,1961-07-13,PRIME,69157.04,False,2021-07-12
D5377B0C-229,91732865086,Bella Moreira,1973-09-10,PRIVATE,75715.21,False,2022-10-10
2EC31444-A31,09534678139,Yasmin Moura,1981-09-14,PRIME,11810.85,False,2020-03-10
6662306E-6CB,45312876909,Alexia Lopes,1977-11-26,PRIME,2397.45,False,2021-05-01
4CDF3A74-BD0,05273649838,Dr. Diego Oliveira,1965-02-13,PJ_PEQUENO,62498.11,False,2023-09-18
95F12DC5-F41,09683271502,Maria Fernanda Cavalcante,1960-09-26,PRIME,52013.7,True,2022-07-26
05B73F8C-6EC,69143025889,Thomas Almeida,1993-07-04,PRIME,79159.03,False,2023-11-22
418EED37-EEB,62403791580,Sr. Arthur Pires,1964-12-02,PJ_MEDIO,,False,2015-09-13
0DC0F708-180,67581903230,Isaque Costela,1966-04-30,PRIME,67560.48,True,2021-01-18
26597026-E48,89132746040,Rhavi da Mata,1960-11-07,PRIVATE,,True,2018-08-10
0BFCBF3D-EED,39217468509,Sabrina Vieira,1979-08-07,VAREJO,,False,2019-10-08
09FE6315-E58,58913470675,Yago Monteiro,1978-06-04,PRIVATE,65228.03,False,2021-08-07
5C297A0E-A0A,24156907325,Brenda Nogueira,1960-05-12,PRIME,,True,2018-10-03
6EAA3474-E94,64519803233,André Pastor,1992-02-28,VAREJO,62679.39,True,2024-03-19
7A3E7FA4-C43,21945670380,Gabriela Porto,1964-11-18,PJ_PEQUENO,70106.94,False,2019-10-03
40962D0D-1F5,12935786491,Dante Pires,1986-12-05,PRIME,37671.85,True,2017-01-29
37357EB2-56E,75148293004,Milena Fogaça,1956-02-04,PJ_PEQUENO,24011.69,False,2023-12-27
3F81E453-C4B,92061573886,Otto Sá,1985-03-15,PRIVATE,,True,2017-03-11
B6414DFF-5FB,62593807121,Dra. Julia Azevedo,1967-11-06,PRIME,30186.27,True,2020-04-01
7CD82AEB-7A5,97084316566,Sr. Joaquim Fogaça,1959-06-27,PJ_MEDIO,4673.82,True,2020-07-06
BB9CDE0C-0E3,46718352900,Cauê Ferreira,1960-01-08,PRIME,66978.03,False,2020-07-25
07B11758-504,48179036510,Ryan Cunha,1960-05-04,PJ_MEDIO,,False,2017-11-04
86A10554-7C6,08641237526,Dr. Arthur Gabriel Costa,1985-01-01,VAREJO,,True,2024-04-11
73EE836F-1DA,94620857300,Benjamin da Cruz,1960-01-09,PJ_MEDIO,36428.45,False,2018-12-16
ED6FB203-FA7,06451298360,Maitê Abreu,1991-05-05,PRIVATE,,True,2022-03-05
1AA3F30D-4E8,95403182705,Vitória da Conceição,1966-01-13,PJ_PEQUENO,40288.26,True,2022-01-25
971B14F1-ADF,37650498166,Otto Andrade,1953-08-03,PRIME,,True,2021-03-07
981AC66F-751,01528793668,Sophie Cunha,1975-12-23,PJ_MEDIO,60714.73,True,2015-11-26
14CC9EAA-A17,21756908303,Emilly Pires,1986-02-19,VAREJO,,False,2022-03-30
A96B7724-959,16873940593,Vinícius Guerra,1961-07-28,VAREJO,24302.03,False,2023-08-07
EE9A9833-84E,84127935014,Benicio Fonseca,1965-10-23,VAREJO,,True,2020-09-21
0BDEFE88-CDC,36257809410,Apollo Silveira,1969-10-21,PRIME,,False,2021-01-05
4E685928-B84,40352679883,Valentina Lopes,1981-02-20,PRIME,40711.75,True,2019-10-15
DB565EB9-429,26473809538,Yuri Rezende,1999-08-11,PRIME,29005.35,False,2019-08-03
AABEF7C5-B94,96758014258,Kamilly Novaes,1993-10-15,VAREJO,74435.66,True,2017-01-13
F5386C73-C88,61957428058,Dr. Augusto Cavalcante,1973-05-10,PJ_MEDIO,,True,2019-12-18
E4975129-A92,47938561282,Brayan Albuquerque,1955-09-27,PRIVATE,25209.6,True,2021-07-28
BDF4CD65-DEE,73082549683,Maria Laura Mendes,1983-11-07,VAREJO,47986.06,False,2022-11-15
15B48930-5C5,43217986555,Marcela Freitas,1998-12-05,PRIME,,True,2017-11-04
51573A69-D0B,74825639119,Ana Julia Pereira,2000-08-13,PJ_MEDIO,55268.5,False,2023-01-24
D1B3801C-C4D,50863217435,Gabriel Sousa,1962-07-06,PJ_PEQUENO,9258.62,True,2017-03-03
8D0719C0-548,09847132550,Isabel Costa,1966-09-30,VAREJO,,True,2023-07-22
5954157A-773,31967520895,Yuri Alves,1994-01-28,PRIVATE,30072.07,True,2017-12-10
D3CD0EFF-303,52167093802,José Cardoso,1996-12-25,PRIME,32674.51,False,2016-08-26
B55BC343-29F,24985013714,Júlia Carvalho,1967-07-15,PRIME,46908.93,True,2024-05-13
6AA3F888-8B7,16938472564,Bianca Barbosa,1960-02-26,PRIVATE,15547.7,True,2021-04-11
54A17665-EB7,26810593721,Gabriel da Costa,1953-11-11,PJ_MEDIO,,False,2017-07-22
EED32EF1-1A6,17268305940,Eduardo Abreu,1994-08-02,PJ_MEDIO,10853.07,False,2019-07-19
F6803D4E-599,39520816712,Anthony Duarte,1991-03-21,PRIME,75927.24,True,2019-09-16
3DFFEB08-F26,56971342070,Sra. Maria Fernanda Ramos,1984-06-29,PRIVATE,29589.2,False,2015-03-16
2D00BECB-594,98217654085,Juan Borges,1980-10-05,PRIVATE,24622.54,False,2017-09-26
CBC84B8F-E51,32708916521,Olívia Camargo,1982-07-11,PJ_PEQUENO,6218.87,False,2020-06-04
D0658976-BD1,68954021794,Juliana Nunes,1957-04-28,PRIVATE,60204.2,False,2018-10-05
AD038E02-B97,63174859255,Gabriela Lima,1993-02-15,PRIVATE,24642.62,False,2021-06-25
85AAACEA-5ED,17398562012,Gael Henrique Rios,1964-04-15,PJ_PEQUENO,6778.58,True,2020-05-27
6E0F4FD4-BE6,73861942500,José Pedro Sá,2000-10-12,VAREJO,37059.58,True,2017-12-12
ED648153-81F,42501793897,Ana Pimenta,1955-12-11,PJ_MEDIO,30112.96,False,2017-04-03
C57F1237-9F8,72415893005,Dr. Vitor Hugo Andrade,1999-03-02,PRIVATE,67657.74,False,2022-06-20
E341E054-B10,12593740841,Thiago Borges,1996-08-26,PJ_MEDIO,58612.57,True,2022-06-26
956C7B91-55D,13056982405,Henry Gabriel Nunes,1962-07-25,PRIVATE,,True,2018-11-01
A73C552E-37B,54039612833,Dra. Cecília Andrade,1969-07-21,PRIME,70674.3,False,2017-03-11
3E8D3C9C-651,15097286359,Carolina Sampaio,1987-04-24,VAREJO,,True,2018-03-16
7E4D3BBF-BF2,28437061571,João Miguel da Conceição,1981-03-19,VAREJO,72322.31,False,2021-05-21
7FB92A1B-C8F,16783529428,Maysa da Cruz,1974-08-30,PRIVATE,40909.67,True,2023-05-25
353CD29D-BB4,67940381539,Dr. Dom Alves,1956-12-29,PRIVATE,70915.72,False,2015-02-15
2A866A27-3E6,76419352819,Kevin Silveira,1959-05-18,VAREJO,,True,2017-02-06
ABEA582D-E33,51967048258,Zoe Garcia,1989-06-09,PRIVATE,,False,2024-03-28
